ARCHIVO | ZONA | ASSETS_IMPORTADOS
SM_EscenarioBlockout_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_EscenarioBlockout_Artes_A.SM_EscenarioBlockout_Artes_A
SM_EsculturaBlockout_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_EsculturaBlockout_Artes_A.SM_EsculturaBlockout_Artes_A
SM_FountainArtes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_FountainArtes_A.SM_FountainArtes_A
SM_GaleriaBlockout_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_GaleriaBlockout_Artes_A.SM_GaleriaBlockout_Artes_A
SM_GalleryPedestal_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_GalleryPedestal_Artes_A.SM_GalleryPedestal_Artes_A
SM_MannequinActor_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_MannequinActor_Artes_A.SM_MannequinActor_Artes_A
SM_Painting_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_Painting_Artes_A.SM_Painting_Artes_A
SM_SculpturePedestal_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_SculpturePedestal_Artes_A.SM_SculpturePedestal_Artes_A
SM_StageLightRig_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_StageLightRig_Artes_A.SM_StageLightRig_Artes_A
SM_TeatroExperimentalBlockout_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_TeatroExperimentalBlockout_Artes_A.SM_TeatroExperimentalBlockout_Artes_A
SM_TheaterSeatRow_Artes_A.fbx | Artes | /Game/Modelos3D/Artes/SM_TheaterSeatRow_Artes_A.SM_TheaterSeatRow_Artes_A
SM_AuditoriumSeatRow_AuditorioCentral_A.fbx | AuditorioCentral | /Game/Modelos3D/AuditorioCentral/SM_AuditoriumSeatRow_AuditorioCentral_A.SM_AuditoriumSeatRow_AuditorioCentral_A
SM_DecisionSign_AuditorioCentral_A.fbx | AuditorioCentral | /Game/Modelos3D/AuditorioCentral/SM_DecisionSign_AuditorioCentral_A.SM_DecisionSign_AuditorioCentral_A
SM_EscenarioBlockout_AuditorioCentral_A.fbx | AuditorioCentral | /Game/Modelos3D/AuditorioCentral/SM_EscenarioBlockout_AuditorioCentral_A.SM_EscenarioBlockout_AuditorioCentral_A
SM_Podium_AuditorioCentral_A.fbx | AuditorioCentral | /Game/Modelos3D/AuditorioCentral/SM_Podium_AuditorioCentral_A.SM_Podium_AuditorioCentral_A
SM_SalaBlockout_AuditorioCentral_A.fbx | AuditorioCentral | /Game/Modelos3D/AuditorioCentral/SM_SalaBlockout_AuditorioCentral_A.SM_SalaBlockout_AuditorioCentral_A
SM_Bench_LibraryLobby_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Bench_LibraryLobby_A.SM_Bench_LibraryLobby_A
SM_BookRow_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_BookRow_Library_A.SM_BookRow_Library_A
SM_Bookshelf_Door_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Bookshelf_Door_A.SM_Bookshelf_Door_A
SM_Bookshelf_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Bookshelf_Library_A.SM_Bookshelf_Library_A
SM_Chair_LibraryGuard_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Chair_LibraryGuard_A.SM_Chair_LibraryGuard_A
SM_ColeccionRestringidaBlockout_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_ColeccionRestringidaBlockout_Library_A.SM_ColeccionRestringidaBlockout_Library_A
SM_ComputerDesk_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_ComputerDesk_Library_A.SM_ComputerDesk_Library_A
SM_Console_LibrarySurveillance_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Console_LibrarySurveillance_A.SM_Console_LibrarySurveillance_A
SM_DeathRecord_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_DeathRecord_Library_A.SM_DeathRecord_Library_A
SM_Desk_LibraryGuard_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Desk_LibraryGuard_A.SM_Desk_LibraryGuard_A
SM_Desk_LibraryLobby_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Desk_LibraryLobby_A.SM_Desk_LibraryLobby_A
SM_Desk_LibrarySurveillance_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_Desk_LibrarySurveillance_A.SM_Desk_LibrarySurveillance_A
